"","1","2","3","4","5","6"
"人物",0.000152064983861132,0.000162768815491209,2.20278373531357e-05,0,2.91386292050287e-05,3.38090495930326e-05
"人知",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"人員",0.000152064983861132,0.000162768815491209,0.000264334048237629,4.7054455426439e-05,0.000203970404435201,0
"人偶",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"人接",0.000229073926972273,0.000245198406670971,0,0,0,0
"人連想",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"人造",8.45443706780107e-05,9.04954363739412e-05,0.00014696319421853,0,0,7.5187982097835e-05
"人腦",0.000289059112588524,0.000309405940594059,0,0,0,0.00012853470437018
"人道主義法",0.000289059112588524,0.000309405940594059,0,0,0,0.00012853470437018
"人說",0.000229073926972273,0.000245198406670971,0,0,0,0
"人選",8.45443706780107e-05,9.04954363739412e-05,0,0.000209288909023669,0,7.5187982097835e-05
"人離雅",0.000229073926972273,0,0,0,0,0.000203722686468015
"人類",0.00205287728212529,0.00215668680525852,0.0012335588917756,0.000188217821705756,0.000378802179665373,0
"人類文明",8.45443706780107e-05,9.04954363739412e-05,0.00014696319421853,0,0,7.5187982097835e-05
"人權",8.45443706780107e-05,9.04954363739412e-05,0,0,6.48014291260835e-05,7.5187982097835e-05
"入股",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"入獄",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"八人戌",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"力量",0.000152064983861132,0.000162768815491209,2.20278373531357e-05,0,0.000116554516820115,6.76180991860652e-05
"力圖",0.000229073926972273,0,0,0,0,0.000203722686468015
"十分",0.000114048737895849,0.000122076611618407,2.20278373531357e-05,0,0.000203970404435201,3.38090495930326e-05
"十惡不赦",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"又稱",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"又譯",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"三分",0.000169088741356021,0.000180990872747882,0,0.000209288909023669,0,7.5187982097835e-05
"三分之二",3.80162459652831e-05,4.06922038728023e-05,2.20278373531357e-05,4.7054455426439e-05,2.91386292050287e-05,0
"三台",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"三它",0.000229073926972273,0.000245198406670971,0,0,0,0
"三次",8.45443706780107e-05,9.04954363739412e-05,0,0,0.000129602858252167,7.5187982097835e-05
"三角洲",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"三枚",0.000289059112588524,0.000309405940594059,0,0,0,0.00012853470437018
"三度",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"三個",3.80162459652831e-05,4.06922038728023e-05,4.40556747062715e-05,0,2.91386292050287e-05,3.38090495930326e-05
"三家",3.80162459652831e-05,4.06922038728023e-05,0,4.7054455426439e-05,2.91386292050287e-05,3.38090495930326e-05
"下丹",8.45443706780107e-05,9.04954363739412e-05,9.79754628123534e-05,0,0,7.5187982097835e-05
"下午",3.80162459652831e-05,4.06922038728023e-05,8.81113494125429e-05,9.41089108528779e-05,8.7415887615086e-05,0
"下去",3.80162459652831e-05,4.06922038728023e-05,2.20278373531357e-05,4.7054455426439e-05,0,3.38090495930326e-05
"下表給",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"下降",3.80162459652831e-05,4.06922038728023e-05,2.20278373531357e-05,9.41089108528779e-05,8.7415887615086e-05,0
"下降時",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"下班",0.000229073926972273,0,0,0,0,0.000203722686468015
"下產極",0.000229073926972273,0.000245198406670971,0,0,0,0
"下隊",3.80162459652831e-05,4.06922038728023e-05,2.20278373531357e-05,4.7054455426439e-05,0,3.38090495930326e-05
"下滑",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"下達",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"上仇",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"上天",3.80162459652831e-05,4.06922038728023e-05,4.40556747062715e-05,4.7054455426439e-05,0,3.38090495930326e-05
"上出",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"上半部",0.000433588668882787,0.000464108910891089,0,0,0,0.00012853470437018
"上去",8.45443706780107e-05,9.04954363739412e-05,4.89877314061767e-05,0,0,7.5187982097835e-05
"上市",7.60324919305662e-05,8.13844077456045e-05,2.20278373531357e-05,0.000235272277132195,0.000174831775230172,0
"上市公司",7.60324919305662e-05,8.13844077456045e-05,0.000132167024118814,0.000282326732558634,0.000203970404435201,0
"上布",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"上戌活",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"上來",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"上空",0.000253633112034032,0.000271486309121824,0.00014696319421853,0,0,7.5187982097835e-05
"上述",3.80162459652831e-05,4.06922038728023e-05,4.40556747062715e-05,9.41089108528779e-05,0,3.38090495930326e-05
"上倍",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"上個",3.80162459652831e-05,4.06922038728023e-05,0.000110139186765679,4.7054455426439e-05,2.91386292050287e-05,0
"上班",8.45443706780107e-05,9.04954363739412e-05,0,0,6.48014291260835e-05,7.5187982097835e-05
"上班族",0.000229073926972273,0,0,0,0,0.000203722686468015
"上情",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"上路",0.000169088741356021,9.04954363739412e-05,0,0.000209288909023669,0,7.5187982097835e-05
"上漲",0.000114048737895849,0.000122076611618407,6.60835120594072e-05,0.000282326732558634,0.000116554516820115,0
"上網",0.000144529556294262,0,0,0.000178890876565295,0,0.00012853470437018
"上說",0.000144529556294262,0.00015470297029703,8.37450799765514e-05,0,0,0
"千米",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"口給",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
